iter	MultiClass
0	-1.86732745
1	-1.796604027
2	-1.732011357
3	-1.677080105
4	-1.625268747
5	-1.580916847
6	-1.537387429
7	-1.498058429
8	-1.460291254
9	-1.425870345
10	-1.39505795
11	-1.364688802
12	-1.33671338
13	-1.308978506
14	-1.284589609
15	-1.261411766
16	-1.238734007
17	-1.217626053
18	-1.197020572
19	-1.178082406
20	-1.159464802
21	-1.142955651
22	-1.127304302
23	-1.111689732
24	-1.096921457
25	-1.082384772
26	-1.068785503
27	-1.055832797
28	-1.042726598
29	-1.02975565
30	-1.017519934
31	-1.006370674
32	-0.9955746306
33	-0.9847430427
34	-0.9742953229
35	-0.9642481139
36	-0.9549558589
37	-0.9463055373
38	-0.937819125
39	-0.9299518261
40	-0.9214729919
41	-0.9140697885
42	-0.9064427966
43	-0.8992065628
44	-0.8913155107
45	-0.8841350309
46	-0.876901671
47	-0.8702094636
48	-0.8637775807
49	-0.8583393799
50	-0.8519348979
51	-0.8460495502
52	-0.8406717627
53	-0.8350154314
54	-0.8299234222
55	-0.8247757495
56	-0.8195185339
57	-0.8154612571
58	-0.8111575979
59	-0.8067954975
60	-0.8026253688
61	-0.7981194977
62	-0.7940699652
63	-0.7897723982
64	-0.7860619471
65	-0.7827727845
66	-0.7791540053
67	-0.7756454194
68	-0.7721047421
69	-0.7687045979
70	-0.7652599731
71	-0.7618294101
72	-0.7585396681
73	-0.7554595031
74	-0.7521210179
75	-0.7491582635
76	-0.7463800921
77	-0.7431370113
78	-0.7411273888
79	-0.7381334852
80	-0.7359389648
81	-0.7333900642
82	-0.7316922501
83	-0.7293331883
84	-0.7270948047
85	-0.7253780983
86	-0.7230539135
87	-0.7209471654
88	-0.7183886153
89	-0.7158590809
90	-0.7141332514
91	-0.7120629939
92	-0.7099996888
93	-0.7080460724
94	-0.7064755687
95	-0.7051538853
96	-0.7037934349
97	-0.7019819001
98	-0.7001479322
99	-0.698567896
100	-0.696939861
101	-0.695961183
102	-0.6948820101
103	-0.6932330101
104	-0.6916781841
105	-0.6904576535
106	-0.6891334108
107	-0.6882521215
108	-0.6868318053
109	-0.685446775
110	-0.6844882224
111	-0.683717581
112	-0.6823149488
113	-0.6807099877
114	-0.6792445954
115	-0.6782937322
116	-0.676649773
117	-0.6751661791
118	-0.674390804
119	-0.6733891688
120	-0.672164194
121	-0.6712807344
122	-0.6702225786
123	-0.6693395992
124	-0.6683295256
125	-0.6672402149
126	-0.6661496976
127	-0.6651289111
128	-0.6641654229
129	-0.6635091685
130	-0.662698494
131	-0.6614134831
132	-0.6604847156
133	-0.659423784
134	-0.658739603
135	-0.6579195291
136	-0.6570940668
137	-0.6557992542
138	-0.6551224965
139	-0.6541806456
140	-0.6534846047
141	-0.6523586007
142	-0.6515588317
143	-0.6509107948
144	-0.650114367
145	-0.6494573105
146	-0.6489297806
147	-0.6481927857
148	-0.6477516069
149	-0.6469207839
150	-0.6462792507
151	-0.6454919938
152	-0.6448280412
153	-0.6444016395
154	-0.6438314711
155	-0.6430447737
156	-0.6423463646
157	-0.6410647392
158	-0.6403366917
159	-0.639843586
160	-0.639272856
161	-0.6389338286
162	-0.6379824404
163	-0.6376448607
164	-0.6373423435
165	-0.636673384
166	-0.6361841847
167	-0.6353750072
168	-0.6347221228
169	-0.633996252
170	-0.6333943285
171	-0.6327572497
172	-0.6320541695
173	-0.6312354113
174	-0.6308159844
175	-0.630188148
176	-0.6296786555
177	-0.6290067457
178	-0.6285441675
179	-0.6277286825
180	-0.6269743154
181	-0.626054193
182	-0.6256924713
183	-0.6253986109
184	-0.6252527934
185	-0.6244167546
186	-0.6240076918
187	-0.6235693554
188	-0.6231594738
189	-0.6225698634
190	-0.6223224783
191	-0.6220602303
192	-0.6216301664
193	-0.621124498
194	-0.6206119513
195	-0.6201578217
196	-0.6197735136
197	-0.6192383092
198	-0.6187159794
199	-0.6182424037
200	-0.6178300621
201	-0.6174153797
202	-0.6167249303
203	-0.6163331113
204	-0.6161372967
205	-0.6157437832
206	-0.6156129796
207	-0.6151663803
208	-0.6143530089
209	-0.6138329524
210	-0.6136814016
211	-0.6132462648
212	-0.6127737208
213	-0.6123875171
214	-0.6118000973
215	-0.6114143306
216	-0.6106386704
217	-0.6103693241
218	-0.6096902006
219	-0.609020246
220	-0.6083963213
221	-0.6081225808
222	-0.6075148587
223	-0.6072354862
224	-0.6069130085
225	-0.6066563416
226	-0.6063141089
227	-0.6060328324
228	-0.6057086246
229	-0.6050680331
230	-0.6045266029
231	-0.6037768441
232	-0.6031519966
233	-0.6026682936
234	-0.6024346889
235	-0.6020275083
236	-0.6014178048
237	-0.6010598874
238	-0.6006039402
239	-0.6004386124
240	-0.6001919051
241	-0.5994883264
242	-0.5992113859
243	-0.5988210617
244	-0.598503234
245	-0.5982261132
246	-0.5979316517
247	-0.5977129884
248	-0.5974574442
249	-0.5970229769
250	-0.5965261445
251	-0.5961704863
252	-0.5955972876
253	-0.5949716551
254	-0.5948576425
255	-0.5946131375
256	-0.5941407495
257	-0.5939309979
258	-0.5933066263
259	-0.5928832626
260	-0.5925398145
261	-0.5919101183
262	-0.5916673005
263	-0.5913757787
264	-0.5911070818
265	-0.5907070568
266	-0.5905737769
267	-0.5902726323
268	-0.5899108931
269	-0.589561484
270	-0.5894217804
271	-0.58907985
272	-0.5887331337
273	-0.5883959638
274	-0.5881514015
275	-0.5878889728
276	-0.5876987296
277	-0.5875473667
278	-0.587171406
279	-0.5869307725
280	-0.5866140961
281	-0.5861398925
282	-0.5856520433
283	-0.5854108782
284	-0.5850678961
285	-0.5847805744
286	-0.5843625347
287	-0.5840761292
288	-0.5834681489
289	-0.5826961312
290	-0.5823206285
291	-0.5820287788
292	-0.5819438172
293	-0.5816837452
294	-0.5812356839
295	-0.5808917695
296	-0.5807007837
297	-0.5804431147
298	-0.5799454542
299	-0.5795947907
300	-0.5794147349
301	-0.5790780162
302	-0.5786578486
303	-0.5780361994
304	-0.5779025047
305	-0.5775584693
306	-0.5774702558
307	-0.5768582643
308	-0.5765078233
309	-0.5761176272
310	-0.5759155439
311	-0.5756564871
312	-0.5750761962
313	-0.5746154543
314	-0.5745285486
315	-0.5741589535
316	-0.5737997794
317	-0.5734733878
318	-0.5731523425
319	-0.5727554497
320	-0.5723119443
321	-0.5718320764
322	-0.5713019736
323	-0.5708770069
324	-0.5707080513
325	-0.5705715916
326	-0.5702468257
327	-0.5699582837
328	-0.5698399208
329	-0.5696749428
330	-0.5695407359
331	-0.5693835849
332	-0.5690758028
333	-0.5688360996
334	-0.5685728761
335	-0.5683990162
336	-0.5681453104
337	-0.5679354472
338	-0.5676323837
339	-0.5672580397
340	-0.566717481
341	-0.5663904293
342	-0.566165841
343	-0.5656852361
344	-0.5654867429
345	-0.5651413427
346	-0.5648051952
347	-0.5644931883
348	-0.5643841363
349	-0.5642003134
350	-0.5639124882
351	-0.5635057104
352	-0.5633178967
353	-0.5629349233
354	-0.5625346155
355	-0.5622638455
356	-0.5620754347
357	-0.5617021394
358	-0.5611211918
359	-0.5607235923
360	-0.5603767354
361	-0.5600691575
362	-0.5596407537
363	-0.5594349707
364	-0.5590261411
365	-0.5587055631
366	-0.5582467146
367	-0.558025309
368	-0.5574437698
369	-0.55716009
370	-0.556915482
371	-0.5565137076
372	-0.5562306878
373	-0.5559272773
374	-0.5557095296
375	-0.5553884777
376	-0.5550532023
377	-0.5548423576
378	-0.554617957
379	-0.5542321167
380	-0.5537275189
381	-0.5535852712
382	-0.5533647964
383	-0.5531304767
384	-0.5530267523
385	-0.5527814816
386	-0.5525425484
387	-0.5523490918
388	-0.5519939653
389	-0.5518352028
390	-0.5512802316
391	-0.5509484667
392	-0.5507382577
393	-0.5504701199
394	-0.5500250582
395	-0.5497192695
396	-0.5494352194
397	-0.5491489639
398	-0.5488142948
399	-0.5485276355
400	-0.5481196973
