iter	Passed	Remaining
0	366	365820
1	710	354366
2	1079	358913
3	1427	355447
4	1798	357909
5	2248	372462
6	2603	369257
7	2941	364767
8	3398	374238
9	3748	371114
10	4090	367776
11	4432	364938
12	4773	362448
13	5111	359978
14	5458	358455
15	5804	356964
16	6149	355601
17	6497	354485
18	6852	353783
19	7202	352910
20	7562	352542
21	7915	351896
22	8286	351980
23	8645	351564
24	8992	350722
25	9371	351058
26	9829	354243
27	10182	353477
28	10533	352691
29	10922	353156
30	11282	352669
31	11634	351952
32	11980	351054
33	12342	350670
34	12854	354430
35	13222	354063
36	13598	353931
37	13952	353211
38	14299	352349
39	14672	352139
40	15052	352080
41	15406	351425
42	15749	350511
43	16109	350007
44	16477	349697
45	16834	349134
46	17235	349480
47	17736	351768
48	18195	353143
49	18567	352780
50	18961	352826
51	19343	352653
52	19726	352472
53	20101	352151
54	20470	351718
55	20886	352093
56	21449	354863
57	21890	355536
58	22479	358529
59	23066	361381
60	23697	364788
61	24386	368942
62	24840	369458
63	25429	371908
64	26108	375564
65	26721	378152
66	27293	380069
67	27855	381787
68	28502	384577
69	29131	387034
70	29798	389899
71	30299	390532
72	30763	390654
73	31295	391621
74	31768	391813
75	32351	393323
76	32856	393846
77	33419	395037
78	33898	395192
79	34318	394666
80	34725	393978
81	35086	392796
82	35484	392044
83	35851	390948
84	36205	389743
85	36577	388746
86	36946	387729
87	37300	386568
88	37654	385427
89	37999	384214
90	38364	383219
91	38737	382325
92	39148	381806
93	39543	381136
94	39899	380097
95	40282	379330
96	40662	378536
97	41039	377731
98	41385	376648
99	41746	375714
100	42103	374761
101	42482	374014
102	42858	373239
103	43207	372252
104	43573	371414
105	43981	370937
106	44401	370562
107	44814	370135
108	45217	369625
109	45637	369245
110	46070	368978
111	46504	368713
112	46899	368136
113	47279	367452
114	47704	367115
115	48059	366246
116	48451	365665
117	48840	365064
118	49236	364513
119	49603	363756
120	49958	362921
121	50328	362199
122	50695	361463
123	51063	360740
124	51443	360101
125	51793	359263
126	52152	358499
127	52525	357831
128	52910	357246
129	53307	356753
130	53685	356130
131	54047	355400
132	54425	354789
133	54796	354130
134	55164	353463
135	55556	352946
136	55914	352220
137	56276	351525
138	56639	350838
139	57005	350174
140	57422	349828
141	57838	349473
142	58210	348857
143	58594	348311
144	58967	347705
145	59339	347098
146	59728	346587
147	60097	345968
148	60473	345390
149	60835	344735
150	61240	344325
151	61674	344078
152	62063	343580
153	62481	343243
154	62864	342712
155	63251	342209
156	63642	341723
157	64003	341079
158	64387	340564
159	64769	340041
160	65207	339807
161	65638	339538
162	66090	339370
163	66534	339163
164	66960	338859
165	67342	338334
166	67809	338237
167	68271	338107
168	68662	337625
169	69049	337121
170	69440	336645
171	69918	336584
172	70291	336016
173	70700	335622
174	71088	335133
175	71451	334520
176	71826	333974
177	72198	333413
178	72570	332852
179	72935	332260
180	73299	331669
181	73662	331075
182	74098	330810
183	74486	330333
184	74902	329975
185	75288	329488
186	75728	329235
187	76170	328992
188	76537	328424
189	76949	328047
190	77372	327718
191	77795	327387
192	78171	326863
193	78607	326587
194	79057	326364
